"phenotype"	"subgroup"	"n_SNPs_unfiltered"	"lambda_unfiltered"	"n_SNPs_filtered"
"BUN"	"ALL"	735190	1.02721002633102	161266
"BUN"	"FEMALE"	692732	0.986790709024258	151167
"BUN"	"MALE"	709232	1.0055869592309	163427
"CKD"	"ALL"	876329	0.943650498827211	242987
"CKD"	"FEMALE"	841681	0.998009079707584	237976
"CKD"	"MALE"	567100	0.938032110965566	236385
"eGFR"	"ALL"	1032701	0.985209670079606	271757
"eGFR"	"FEMALE"	960113	1.01532319525782	269405
"eGFR"	"MALE"	979696	0.95928099816779	267249
"Gout"	"ALL"	398402	0.837266713633996	0
"Gout"	"FEMALE"	357232	0.798510419288845	0
"Gout"	"MALE"	385262	0.857596271979804	0
"MA"	"ALL"	847629	0.966916452347056	199350
"MA"	"FEMALE"	816149	1.01955389320435	194985
"MA"	"MALE"	539889	0.929646765208021	163288
"UA"	"ALL"	898722	1.00034880900323	235927
"UA"	"FEMALE"	783459	1.00128574687658	214669
"UA"	"MALE"	873764	0.983535640689782	231997
"UACR"	"ALL"	975192	1.00833999511198	255553
"UACR"	"FEMALE"	914002	1.01640879584269	251446
"UACR"	"MALE"	931803	0.995451192093939	251259
